Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
The Crown,2021,8.6,"176,135",58,Series,TV-MA,60,Moderate,Mild,Mild,Mild,Mild,Biography, Drama, History
Better Call Saul,2021,8.8,"359,684",46,Series,TV-MA,63,Mild,Moderate,Moderate,Moderate,Moderate,Crime, Drama,
The Handmaid's Tale,2021,8.4,"204,512",60,Series,TV-MA,47,Severe,Severe,Moderate,Mild,Severe,Drama, Sci-Fi, Thriller
Lost,2021,8.3,"520,422",44,Series,TV-14,119,Mild,Moderate,Mild,Moderate,Moderate,Adventure, Drama, Fantasy
Outlander,2021,8.4,"138,887",64,Series,TV-MA,87,Severe,Severe,Moderate,Mild,Moderate,Drama, Fantasy, Romance
The Simpsons,2021,8.6,"381,626",22,Series,TV-PG,731,Moderate,Moderate,Mild,Moderate,Mild,Animation, Comedy,
Dear Evan Hansen,2021,6,"5,468",137,Film,PG-13,-,Mild,None,Mild,Mild,Mild,Drama, Musical,
CSI: Crime Scene Investigation,2021,7.6,"80,011",60,Series,TV-14,336,Mild,Severe,Mild,Mild,Moderate,Crime, Drama, Mystery
Loki,2021,8.3,"208,457",None,Series,TV-14,7,None,Moderate,Mild,None,Moderate,Action, Adventure, Fantasy
It's Always Sunny in Philadelphia,2021,8.8,"201,983",22,Series,TV-MA,157,Moderate,Mild,Severe,Severe,Mild,Comedy,,
Hypnotic,2021,No Rate,No Votes,88,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Horror, Thriller
Superstore,2021,7.8,"39,602",22,Series,TV-14,113,Mild,Mild,Mild,Mild,None,Comedy,,
The Resident,2021,7.7,"22,186",60,Series,TV-14,76,Mild,Mild,Mild,Mild,Mild,Drama,,
Gisaengchung,2019,8.6,"669,620",132,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate,Comedy, Drama, Thriller
Mr. Robot,2019,8.5,"354,297",49,Series,TV-MA,45,Moderate,Severe,Severe,Severe,Severe,Crime, Drama, Thriller
Last Night in Soho,2021,7.4,"1,122",116,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate,Drama, Horror, Mystery
Titanic,1997,7.8,"1,096,676",194,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Severe,Drama, Romance,
Shiddat,2021,8,"8,066",146,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Romance,,
Scream,2022,No Rate,No Votes,120,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Horror, Mystery, Thriller
Ozark,2022,8.4,"214,799",60,Series,TV-MA,44,Severe,Severe,Severe,Severe,Severe,Crime, Drama, Thriller
Rise of the Footsoldier: Origins,2021,6.4,"1,894",107,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Crime, Drama
F9,2021,5.2,"97,696",143,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Crime
Shingeki no kyojin,2021,9,"255,267",24,Series,TV-MA,86,Mild,Severe,Moderate,Mild,Severe,Animation, Action, Adventure
365 dni,2020,3.3,"67,739",114,Film,TV-MA,-,Severe,Mild,Moderate,Moderate,Mild,Drama, Romance,
Archer,2020,8.6,"144,917",22,Series,TV-MA,135,Moderate,Severe,Severe,Severe,Moderate,Animation, Action, Comedy
How I Met Your Mother,2020,8.3,"635,038",22,Series,TV-14,208,Moderate,None,Mild,Moderate,None,Comedy, Romance,
Chehre,2021,6.6,"21,358",139,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Mystery, Thriller
Young Sheldon,2021,7.5,"41,356",30,Series,TV-PG,90,Mild,None,Mild,Mild,None,Comedy,,
The Batman,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Crime, Drama
Black Mafia Family,2022,6.8,930,None,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate,Biography, Crime, Drama
Manifest,2022,7.1,"39,468",43,Series,TV-14,62,Mild,Mild,Mild,None,Mild,Drama, Mystery, Sci-Fi
S.W.A.T.,2022,7.1,"18,353",43,Series,TV-14,89,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Crime
Friday Night Lights,2022,8.6,"60,640",44,Series,TV-14,76,Mild,Mild,Mild,Moderate,None,Drama, Sport,
9/1/2001,2022,7.8,"26,981",43,Series,TV-14,65,Mild,Moderate,Mild,Mild,Moderate,Action, Drama, Thriller
Heat,1995,8.2,"609,446",170,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Crime, Drama, Thriller
Old Henry,2021,7.2,"4,233",99,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Western,,
Chicago P.D.,2021,8.1,"32,212",43,Series,TV-14,171,Mild,Moderate,Mild,Moderate,Moderate,Action, Crime, Drama
Shameless,2021,8.5,"217,452",46,Series,TV-MA,134,Severe,Moderate,Severe,Severe,Moderate,Comedy, Drama,
The Expanse,2021,8.5,"123,865",60,Series,TV-14,62,Moderate,Moderate,Moderate,Mild,Moderate,Drama, Mystery, Sci-Fi
Muppets Haunted Mansion,2021,6.7,"2,929",52,Film,TV-PG,-,None,Mild,Mild,None,Moderate,Adventure, Comedy, Family
Westworld,2021,8.6,"453,101",62,Series,TV-MA,35,Severe,Severe,Severe,Moderate,Moderate,Drama, Mystery, Sci-Fi
American Rust,2021,7,"1,915",None,Series,TV-MA,9,Severe,No Rate,No Rate,No Rate,No Rate,Crime, Drama,
Ghosts,2021,8.2,"8,577",30,Series,TV-14,19,Mild,Mild,Mild,Mild,None,Comedy, Fantasy,
Fear the Walking Dead,2021,6.9,"120,421",44,Series,TV-MA,101,Mild,Severe,Mild,Mild,Severe,Drama, Horror, Sci-Fi
Cinderella,2021,4.2,"33,916",113,Film,PG,-,Mild,None,Mild,None,None,Adventure, Comedy, Family
Bridgerton,2021,7.3,"89,503",60,Series,TV-MA,16,Severe,Mild,Mild,Mild,Mild,Drama, Romance,
Halloween,2018,6.5,"132,934",106,Film,R,-,Mild,Severe,Moderate,Mild,Severe,Crime, Horror, Thriller
The Addams Family,2019,5.8,"33,649",86,Film,PG,-,None,Mild,None,Mild,Mild,Animation, Adventure, Comedy
House M.D.,2019,8.7,"432,280",44,Series,TV-14,176,Mild,Moderate,Mild,Moderate,Moderate,Drama, Mystery,
Good Girls,2019,7.8,"44,113",43,Series,TV-14,50,Mild,Moderate,Mild,Moderate,Mild,Comedy, Crime, Drama
The Flash,2019,7.6,"325,626",43,Series,TV-PG,165,Mild,Mild,Mild,Mild,Mild,Action, Adventure, Drama
Scream,1996,7.3,"304,350",111,Film,R,-,Mild,Severe,Moderate,Mild,Severe,Horror, Mystery,
Suits,1996,8.4,"380,478",44,Series,TV-14,134,Mild,Mild,Moderate,Moderate,None,Comedy, Drama,
